Country,Year,Death Rate
China,1990,280.80127
China,1991,274.4735
China,1992,268.91718
China,1993,262.73883
China,1994,254.90948
China,1995,246.52893
China,1996,239.16681
China,1997,230.32127
China,1998,221.40315
China,1999,216.73656
China,2000,213.26111
China,2001,207.54622
China,2002,202.0797
China,2003,196.55457
China,2004,193.20528
China,2005,185.80782
China,2006,173.69003
China,2007,164.91856
China,2008,160.40204
China,2009,156.39961
China,2010,153.37444
China,2011,148.04576
China,2012,140.69536
China,2013,134.63913
China,2014,129.23306
China,2015,124.34868
China,2016,119.81175
China,2017,114.10492
China,2018,109.00006
China,2019,105.92243
India,1990,280.5496
India,1991,278.58936
India,1992,274.16492
India,1993,268.49084
India,1994,261.26193
India,1995,253.85863
India,1996,253.51646
India,1997,261.14294
India,1998,258.5318
India,1999,247.57991
India,2000,243.3887
India,2001,242.64006
India,2002,238.21454
India,2003,228.2405
India,2004,212.39885
India,2005,211.92703
India,2006,214.06673
India,2007,213.56076
India,2008,212.18431
India,2009,197.67227
India,2010,187.43596
India,2011,184.7757
India,2012,183.92117
India,2013,187.91331
India,2014,185.81102
India,2015,179.74594
India,2016,171.9553
India,2017,167.0373
India,2018,167.217
India,2019,164.07867
Japan,1990,20.111774
Japan,1991,19.389132
Japan,1992,18.76144
Japan,1993,18.221582
Japan,1994,17.412796
Japan,1995,17.006342
Japan,1996,16.029585
Japan,1997,15.381917
Japan,1998,15.164785
Japan,1999,14.942874
Japan,2000,14.223615
Japan,2001,13.566194
Japan,2002,12.949989
Japan,2003,12.543292
Japan,2004,12.069731
Japan,2005,11.817526
Japan,2006,11.295564
Japan,2007,10.861867
Japan,2008,10.48969
Japan,2009,10.107404
Japan,2010,9.896218
Japan,2011,9.945651
Japan,2012,10.07721
Japan,2013,10.359856
Japan,2014,10.499294
Japan,2015,10.416283
Japan,2016,10.2590275
Japan,2017,9.987561
Japan,2018,9.960296
Japan,2019,9.893774
Malaysia,1990,90.06378
Malaysia,1991,83.98223
Malaysia,1992,80.020096
Malaysia,1993,78.29115
Malaysia,1994,80.05521
Malaysia,1995,81.27185
Malaysia,1996,75.758575
Malaysia,1997,71.245415
Malaysia,1998,67.13214
Malaysia,1999,71.159775
Malaysia,2000,66.13951
Malaysia,2001,65.22566
Malaysia,2002,65.41514
Malaysia,2003,65.03857
Malaysia,2004,62.336136
Malaysia,2005,60.85523
Malaysia,2006,58.756664
Malaysia,2007,56.363678
Malaysia,2008,55.727394
Malaysia,2009,54.972763
Malaysia,2010,52.884083
Malaysia,2011,51.489468
Malaysia,2012,50.899944
Malaysia,2013,48.490566
Malaysia,2014,49.181465
Malaysia,2015,48.882095
Malaysia,2016,46.583458
Malaysia,2017,43.875732
Malaysia,2018,44.34818
Malaysia,2019,45.512756
Switzerland,1990,34.519238
Switzerland,1991,33.359894
Switzerland,1992,31.764511
Switzerland,1993,30.127354
Switzerland,1994,28.892937
Switzerland,1995,28.325762
Switzerland,1996,26.695953
Switzerland,1997,25.526705
Switzerland,1998,24.215832
Switzerland,1999,22.809307
Switzerland,2000,21.466658
Switzerland,2001,19.922846
Switzerland,2002,19.079748
Switzerland,2003,18.106617
Switzerland,2004,16.810707
Switzerland,2005,15.833633
Switzerland,2006,15.180505
Switzerland,2007,14.724278
Switzerland,2008,14.246238
Switzerland,2009,14.000227
Switzerland,2010,13.468688
Switzerland,2011,12.822896
Switzerland,2012,12.371396
Switzerland,2013,11.780836
Switzerland,2014,11.056306
Switzerland,2015,10.308209
Switzerland,2016,8.990254
Switzerland,2017,8.081714
Switzerland,2018,8.152351
Switzerland,2019,8.173524
United Kingdom,1990,45.9379
United Kingdom,1991,44.445038
United Kingdom,1992,42.74573
United Kingdom,1993,41.8427
United Kingdom,1994,39.650707
United Kingdom,1995,38.46462
United Kingdom,1996,36.674072
United Kingdom,1997,34.67803
United Kingdom,1998,33.163998
United Kingdom,1999,31.609568
United Kingdom,2000,29.423967
United Kingdom,2001,27.39094
United Kingdom,2002,26.272879
United Kingdom,2003,24.892698
United Kingdom,2004,22.9557
United Kingdom,2005,21.501493
United Kingdom,2006,20.277035
United Kingdom,2007,19.338942
United Kingdom,2008,18.347357
United Kingdom,2009,17.20391
United Kingdom,2010,16.226593
United Kingdom,2011,15.20385
United Kingdom,2012,14.331294
United Kingdom,2013,13.457104
United Kingdom,2014,12.520537
United Kingdom,2015,11.982252
United Kingdom,2016,11.589452
United Kingdom,2017,11.273325
United Kingdom,2018,11.442633
United Kingdom,2019,11.192642
United States,1990,32.072163
United States,1991,31.272917
United States,1992,30.471554
United States,1993,30.474857
United States,1994,30.14579
United States,1995,29.790709
United States,1996,29.014322
United States,1997,28.302038
United States,1998,27.840418
United States,1999,27.484518
United States,2000,26.610783
United States,2001,25.784807
United States,2002,24.971268
United States,2003,23.75441
United States,2004,22.343557
United States,2005,21.53899
United States,2006,20.492655
United States,2007,18.987497
United States,2008,17.605717
United States,2009,16.256487
United States,2010,15.180036
United States,2011,14.758144
United States,2012,13.9759865
United States,2013,13.236046
United States,2014,12.454056
United States,2015,11.933214
United States,2016,11.258059
United States,2017,10.63157
United States,2018,10.588969
United States,2019,10.551644
World,1990,156.04886
World,1991,153.45729
World,1992,151.49438
World,1993,149.93127
World,1994,147.51955
World,1995,144.51704
World,1996,141.8302
World,1997,139.79295
World,1998,136.88246
World,1999,134.38486
World,2000,132.34297
World,2001,130.02933
World,2002,128.04726
World,2003,125.28172
World,2004,121.7239
World,2005,119.29979
World,2006,115.94651
World,2007,113.09352
World,2008,111.253426
World,2009,108.24927
World,2010,106.01508
World,2011,103.609215
World,2012,100.98269
World,2013,98.83612
World,2014,96.39989
World,2015,94.259674
World,2016,91.31825
World,2017,88.5641
World,2018,86.99524
World,2019,85.6172
